Dates;EURCHF;EURGBP;EURJPY;EURUSD;EURSEK;EURNOK;EURCAD;EURSGD;EUR
1999-05-20;-224;175.35;-336.5;288.5;521.5;2537.5;352.5;-11.5;0
1999-05-21;-224;175.35;-336.5;288.5;521.5;2537.5;352.5;-6.5;0
1999-05-24;-225.5;175.9;-334;292;555.5;2537.5;344.5;-15;0
1999-05-25;-230.8;175.15;-335;292.5;557.5;2605;352.5;9.5;0
1999-05-26;-221.5;174.75;-337;290;560;2597.5;372.5;20.5;0
1999-05-27;-228.5;171.95;-324.5;293.5;535;2550;378.5;26.5;0
1999-05-28;-228.5;173.15;-329.5;292;552.5;2552.5;376;-0.5;0
1999-05-31;-230.5;171.2;-327;293;547.5;2556;374.5;11;0
1999-06-01;-233.5;169.1;-338;294;542.5;2529;374.5;15.4;0
1999-06-02;-220.5;169.75;-331;287;567.5;2540;374.5;21.4;0
1999-06-03;-216.5;170;-337;291.5;541.5;2562.5;375;20.5;0
1999-06-04;-225;169.05;-341;289.75;547.5;2557.5;365;23;0
1999-06-07;-223.5;166.5;-335;290.5;525;2517.5;359;11.5;0
1999-06-08;-224;168.55;-336;297.5;537.5;2530;374.5;6;0
1999-06-09;-223.5;169.55;-336;298;540;2532.5;380;9;0
1999-06-10;-221.55;167.45;-331;297;515;2492.5;381;11;0
1999-06-11;-218.5;163.75;-332.5;300;517.5;2492.5;376;8.5;0
1999-06-14;-215;156.2;-333.5;297.5;548;2473.5;371;15.5;0
1999-06-15;-222.5;156.6;-338.5;297.3;534;2467.5;379.5;13.5;0
1999-06-16;-218.5;155;-330.5;292;547.5;2423.5;366.5;6;0
1999-06-17;-228;155.55;-345;286.15;510;2432.5;360;-5;0
1999-06-18;-227;155.95;-321.5;288.5;495;2440;358;-11.5;0
1999-06-21;-227;155.5;-340.5;288;512.5;2425;352.5;-13;0
1999-06-22;-225.5;155.05;-340.5;290;481.5;2421;357.5;-25.7;0
1999-06-23;-229.5;154.8;-349;290.5;517.5;2410;369.5;-26.5;0
1999-06-24;-228;159.5;-347.5;292;482.5;2432.5;370;-18;0
1999-06-25;-220;157.65;-345;294.4;490;2420;364.5;-19.5;0
1999-06-28;-213.5;160.9;-338;293.25;537.5;2462.5;367.5;-24.5;0
1999-06-29;-211.5;163.35;-338.2;295.5;577.5;2483.5;367;-21.5;0
1999-06-30;-211.5;163;-340.5;288;490;2407.5;373;-13;0
1999-07-01;-201.5;157.55;-334.5;285.25;537.5;2417.5;342.5;-26;0
1999-07-02;-190.5;161.7;-339.5;281.8;592.5;2455;334;-32;0
1999-07-05;-189.5;154.9;-343.5;281.25;602.5;2472;331.5;-38;0
1999-07-06;-189;153.8;-346.05;284.25;672.5;2467.5;341.5;-48.9;0
1999-07-07;-191.8;153.6;-343.5;284.4;783;2445;346.5;-41.5;0
1999-07-08;-194.55;153;-348;282;802.5;2425;339;-37;0
1999-07-09;-194;153.65;-348.5;278.95;747.5;2410;339;-26.5;0
1999-07-12;-205.5;151.45;-347;278.25;655;2370;338.5;-25.5;0
1999-07-13;-201;153.75;-352;282.25;685;2420;345.5;-17.5;0
1999-07-14;-205;149.45;-342.5;283.5;717.5;2402.5;345.5;-8.5;0
1999-07-15;-202;149.55;-347.5;274.5;670;2350;330;-20.5;0
1999-07-16;-207.3;146.4;-353.5;270.55;637.5;2342.5;327.5;-7.8;0
1999-07-19;-218;149.5;-359.5;268.5;602.5;2312.5;323.5;-34.6;0
1999-07-20;-224;152.55;-356;269.75;580;2320;339;-44.9;0
1999-07-21;-222;158.1;-356.5;275;600;2435;352.5;-31;0
1999-07-22;-213.5;156.4;-356.5;280.75;642.5;2487.5;351;-14.5;0
1999-07-23;-218;161.95;-359.5;279.5;640;2407.5;371;2.9;0
1999-07-26;-227;163.2;-359.5;288.95;657.5;2382.5;389;7.2;0
1999-07-27;-231;162.1;-360;288;670;2422.5;394;-5.6;0
1999-07-28;-232.5;165.95;-361.5;287.75;647.5;2427.5;383.5;-11;0
1999-07-29;-233.5;166.95;-360;289.95;612.5;2377.5;386.5;0.5;0
1999-07-30;-233;166.25;-358.5;291.05;625;2365;380;-11;0
1999-08-02;-234;166.7;-364;290;645;2300;376;5.4;0
1999-08-03;-236;166.05;-369.5;289.5;602.5;2282.5;357;9;0
1999-08-04;-233;171.6;-365.5;291.5;640;2285;358.5;19.5;0
1999-08-05;-231;172.25;-370;283.5;595;2250;351.5;11;0
1999-08-06;-233;173.56;-373;287.5;810;2425;368;25;0
1999-08-09;-234.5;169.3;-374.5;291.75;807.5;2337.5;378;21;0
1999-08-10;-229.7;167.75;-379.5;297;812.5;2242.5;387.5;45.5;0
1999-08-11;-230;165.05;-367.5;295.5;790;2205;377;75.5;0
1999-08-12;-236.5;166.35;-370;295.25;577.5;2215;370;75;0
1999-08-13;-234;165.55;-362;292.5;620;2215;366.5;64.5;0
1999-08-16;-239.5;163.45;-360.5;288.5;660.5;2202.5;362.5;39.1;0
1999-08-17;-239;163.2;-359;289.7;685;2200;354.5;35.5;0
1999-08-18;-232.5;167.45;-345;293;675;2212.5;362.5;38;0
1999-08-19;-239.5;165.95;-348.5;292;647.5;2170;364.5;32.5;0
1999-08-20;-236;170;-353;293.5;660;2200;363.5;14;0
1999-08-23;-225;170.25;-344.5;292.25;675;2220;361.5;15.5;0
1999-08-24;-225;169.5;-351;289;625;2165;357.5;18;0
1999-08-25;-230;168.6;-340.39;285.75;677.5;2363;337;16.5;0
1999-08-26;-236.5;166.3;-349;282.5;637.5;2335;337;25.5;0
1999-08-27;-237.5;166.1;-352;284.5;675;2280;329.5;20;0
1999-08-30;-238.5;165.95;-354;285.65;655;2265;329.5;23.5;0
1999-08-31;-231;166.65;-357;292.75;657.5;2237.5;346.5;21.8;0
1999-09-01;-235;169.3;-355;294.25;727.5;2227.5;343.5;35.5;0
1999-09-02;-238;171;-357;296;677.5;2170;354.5;48.5;0
1999-09-03;-234;169.3;-348.5;294.2;665;2177.5;339;46.5;0
1999-09-06;-237;178.8;-346;293.5;657;2200.5;339.5;41.5;0
1999-09-07;-241.5;178.8;-355;293.5;610;2165;339;63;0
1999-09-08;-246;181.95;-354.29;287;635;2117.5;328.5;79.5;0
1999-09-09;-244;181.25;-365.5;288.5;657.5;2105;324.5;74;0
1999-09-10;-240;184.7;-347.6;279.7;685;2085;310;50.5;0
1999-09-13;-247;185.05;-346.5;277.25;595;2065;303.5;22;0
1999-09-14;-247;183;-343.1;280.5;620;2060;317.5;16.5;0
1999-09-15;-247;181.85;-340.6;276.5;640;2067.5;311;-6.5;0
1999-09-16;-232.5;181.95;-339.2;282.7;660;2115;316.5;18.5;0
1999-09-17;-226;180.2;-343.5;281.75;663.5;2120;312;9.5;0
1999-09-20;-215;181.4;-345.5;280.45;672.5;2127.5;309.5;28.5;0
1999-09-21;-221;181;-339.5;281.5;715;2135;307;27.5;0
1999-09-22;-217;180.5;-336.5;280;765;2097.5;302.5;39.5;0
1999-09-23;-221;180.7;-332;281.5;730;2140;307.5;37;0
1999-09-24;-209;180.75;-332.5;278.5;747.5;2130;297;39;0
1999-09-27;-203;178.8;-344.5;273.5;735;2132.5;294.5;19;0
1999-09-28;-204;178.8;-343.5;275;737.5;2100;284;24.5;0
1999-09-29;-204;180.5;-346;278.5;725;2125;293.5;19.5;0
1999-09-30;-209;182.2;-354;278.5;685;2077.5;294;12;0
1999-10-01;-181.5;179.4;-372.5;272;644;2035;288;-17;0
1999-10-04;-178.35;178.8;-374.5;269.7;675;1972.5;282.5;-17;0
1999-10-05;-193.5;173.9;-384.5;270.75;632.5;1980;275.5;-13;0
1999-10-06;-183;175.05;-389;271;535;1982.5;282;-9.6;0
1999-10-07;-172;176.5;-386;279.5;563.5;2010;295;-37;0
1999-10-08;-171;172.05;-383;272.75;527.5;1995;283.5;-40.5;0
1999-10-11;-174;170.35;-386.5;271.5;520;1997;293.5;-40;0
1999-10-12;-174;170.5;-397;269.5;505;1935;298;-58;0
1999-10-13;-172.5;168.85;-404;268;530;1945;304.5;-53;0
1999-10-14;-175.5;167;-405.5;264.25;542.5;1892.5;312;-62;0
1999-10-15;-183;168.6;-402;268.6;525;1897.5;317.5;-55.5;0
1999-10-18;-178;168.15;-398.5;268.75;587.5;1937.5;321.5;-57;0
1999-10-19;-188.5;169.1;-394;266;545;1920;319;-50.7;0
1999-10-20;-181;168.8;-407;265.9;562.5;1935;320.5;-63.5;0
1999-10-21;-186;167.75;-405;265;528;1920;314.5;-62.5;0
1999-10-22;-198;168.05;-397.5;264;485;1888;313.5;-58;0
1999-10-25;-196;165.5;-400.5;263.5;505;1860;311;-63.5;0
1999-10-26;-205;164.2;-393.5;259.6;505;1855;311.5;-59.5;0
1999-10-27;-203;165.55;-384;258.5;447.5;1845;320.5;-50.3;0
1999-10-28;-198;167.75;-381.5;261.5;475;1875;312;-55.5;0
1999-10-29;-213.5;166.85;-379;254;460;1865;292;-66.9;0
1999-11-01;-201.5;165.9;-383.5;251;440;1840;289.5;-70.5;0
1999-11-02;-189;167.3;-379;252;460;1885;294;-57.5;0
1999-11-03;-190.1;166.6;-379;253.5;472.5;1860;289.5;-58.5;0
