Dates;EURCHF;EURGBP;EURJPY;EURUSD;EURSEK;EURNOK;EURCAD;EURSGD;EUR
1999-05-20;1.60495;0.6609;131.23;1.0585;8.9792;8.241;1.54595;1.8289;1
1999-05-21;1.60495;0.6609;131.23;1.0585;8.9792;8.241;1.54595;1.8232;1
1999-05-24;1.60225;0.66345;130.55;1.0607;8.9749;8.258;1.54465;1.8252;1
1999-05-25;1.592;0.66165;129.81;1.0624;8.996;8.257;1.55865;1.8357;1
1999-05-26;1.5945;0.655;127.78;1.0443;8.9774;8.246;1.53565;1.808;1
1999-05-27;1.5916;0.6526;125.38;1.0423;8.9756;8.2487;1.5388;1.8025;1
1999-05-28;1.59445;0.65125;126.85;1.0429;8.9698;8.2394;1.53575;1.8016;1
1999-05-31;1.59145;0.65035;126.76;1.042;8.9549;8.2173;1.5355;1.798;1
1999-06-01;1.59255;0.64815;126.05;1.0448;8.9708;8.2324;1.55035;1.8022;1
1999-06-02;1.5911;0.64555;125.79;1.036;8.9524;8.2264;1.53165;1.7884;1
1999-06-03;1.59155;0.64315;125.44;1.0325;8.9232;8.2342;1.5239;1.7818;1
1999-06-04;1.5897;0.6444;126.85;1.0377;8.9209;8.2257;1.52545;1.7924;1
1999-06-07;1.58825;0.64385;124.43;1.0328;8.8853;8.1835;1.51125;1.7745;1
1999-06-08;1.5918;0.65155;124.82;1.0466;8.8877;8.1857;1.54325;1.7858;1
1999-06-09;1.5944;0.6533;124.74;1.0466;8.9091;8.2036;1.54095;1.7939;1
1999-06-10;1.59565;0.65295;124.65;1.0483;8.8905;8.2113;1.534;1.7969;1
1999-06-11;1.59425;0.65045;124.04;1.0519;8.8701;8.2029;1.5406;1.7985;1
1999-06-14;1.5939;0.64885;125.71;1.0423;8.8504;8.1945;1.5227;1.7853;1
1999-06-15;1.59585;0.65405;125.52;1.0427;8.8477;8.1911;1.52635;1.7822;1
1999-06-16;1.59515;0.64895;124.13;1.0308;8.7234;8.166;1.50425;1.7552;1
1999-06-17;1.59545;0.64905;123.43;1.0343;8.7417;8.1306;1.51225;1.7586;1
1999-06-18;1.59725;0.65115;125.15;1.0398;8.7331;8.1021;1.52205;1.7747;1
1999-06-21;1.596;0.65025;126.71;1.0347;8.7038;8.0845;1.52155;1.7685;1
1999-06-22;1.5952;0.64895;125.67;1.0325;8.7021;8.091;1.5182;1.7537;1
1999-06-23;1.59705;0.65375;126.04;1.0337;8.6853;8.0961;1.52115;1.7579;1
1999-06-24;1.5974;0.65535;126.82;1.0413;8.734;8.1315;1.5316;1.7708;1
1999-06-25;1.59835;0.65745;126.66;1.043;8.7249;8.1361;1.528;1.7735;1
1999-06-28;1.60035;0.65285;125.44;1.0331;8.7413;8.1365;1.5185;1.7616;1
1999-06-29;1.6021;0.6565;125.02;1.0319;8.7376;8.1234;1.52545;1.7592;1
1999-06-30;1.60375;0.6564;125.49;1.0351;8.7371;8.1111;1.51455;1.7603;1
1999-07-01;1.60495;0.65045;123.63;1.023;8.7266;8.0858;1.50745;1.7358;1
1999-07-02;1.60645;0.6491;123.93;1.0249;8.6968;8.0816;1.4992;1.7392;1
1999-07-05;1.6045;0.64925;125.12;1.0223;8.7068;8.0567;1.50135;1.7347;1
1999-07-06;1.6029;0.65535;124.91;1.0236;8.6994;8.0669;1.5059;1.7364;1
1999-07-07;1.6047;0.6551;124.98;1.0222;8.6951;8.088;1.5018;1.7352;1
1999-07-08;1.60525;0.65585;125.24;1.0222;8.7303;8.1096;1.5036;1.735;1
1999-07-09;1.6072;0.65845;124.77;1.0196;8.7285;8.1052;1.5009;1.7337;1
1999-07-12;1.6048;0.65165;123.94;1.0145;8.7188;8.1045;1.5004;1.7236;1
